Year,Country,Production,Yield,Pesticides,Fertilizer (N),Fertilizer (K2O),Fertilizer (P2O5),Fertilizer (Total),Agricultural Value Added,Mean Temperature,Precipitation,Agricultural Employment,FPI,Population,Agricultural Machinery,Export Value,Export Avg Price,Import Value,Import Avg Price,Urbanization
1976,Albania,19819,28.932846715328466,,45.3,4.3,23.0,125.217391304348,14.70664,10.88,1291.05,,38.09,2713.56,170.434782608696,,,,,0.4904972586210546
1977,Albania,20303,29.339595375722542,,50.0,7.5,21.2,135.689655172414,14.795179,11.95,866.39,,39.79,2774.795,172.413793103448,,,,,0.494874244287218
1978,Albania,21269,30.51506456241033,,71.9,4.9,23.9,171.355060034305,14.727116,11.08,1188.59,,41.53,2833.314,173.241852487136,,,,,0.4992975276470965
1979,Albania,20303,29.12912482065997,,70.9,4.6,18.0,168.267581475129,14.597625,11.92,1498.89,,42.27,2888.763,173.241852487136,,,,,0.5037595620906051
1980,Albania,20786,29.60968660968661,,67.7,4.0,16.6,160.17094017094,15.060796,11.0,1283.0,,41.43,2941.651,172.735042735043,,,,,0.5097023938558731
1981,Albania,21753,30.811614730878187,,72.5,2.9,6.6,138.43537414966,14.522928,11.49,1185.29,,43.08,2992.389,173.469387755102,,,,,0.5156990355550753
1982,Albania,22236,31.362482369534554,,70.8,6.2,29.0,179.966044142615,14.209151,11.89,1125.91,,44.46,3041.179,174.872665534805,,,,,0.5217745342136946
1983,Albania,22478,31.659154929577465,,73.0,4.7,25.0,174.363327674024,15.284934,11.51,1026.7,,48.43,3087.911,176.910016977929,,,,,0.5279219931081227
1984,Albania,22720,31.865357643758767,,75.0,1.0,18.0,159.592529711375,14.83668,11.3,1017.55,,44.95,3131.726,173.174872665535,,,,,0.5341502166459141
1985,Albania,22720,31.865357643758767,,75.0,1.1,18.0,159.762308998302,15.509046,11.63,1067.09,,44.32,3171.725,168.93039049236,,,,,0.54043435210382
1986,Albania,22720,31.865357643758767,,75.0,3.3,18.0,163.497453310696,15.246248,11.8,1090.6,,44.04,3207.128,173.174872665535,,,,,0.5468014447631405
1987,Albania,23106,32.36134453781513,,66.1,2.2,26.7,161.016949152542,14.887562,11.63,1207.37,,45.57,3237.676,180.169491525424,,,,,0.5532427231619245
1988,Albania,23203,32.49719887955182,,69.3,2.2,25.0,163.559322033898,14.125316,11.99,940.28,,44.31,3263.019,196.610169491525,,,,,0.5597700936330319
1989,Albania,28520,40.33946251768034,,79.9,2.3,24.3,182.989690721649,14.483516,11.58,866.28,,49.4,3282.182,207.903780068729,,,,,0.5663557052860225
1990,Albania,29004,41.19886363636363,0.12,73.5,3.0,25.5,176.165803108808,16.672453,12.31,929.4,,48.66,3295.066,212.435233160622,,,,,0.5730278153949403
1991,Albania,30937,44.00711237553343,0.14,22.3,1.3,7.7,54.1522491349481,17.605661,11.27,1024.15,54.2,41.33,3302.081,163.823529411765,,,,,0.5797786960992559
1992,Albania,53173,75.63726884779517,0.12,14.8,0.0,8.7,40.6574394463668,22.477932,11.85,910.96,54.0,45.58,3303.739,155.709342560554,,,,,0.593594419102359
1993,Albania,51258,73.01709401709402,0.11,15.2,1.1,1.6,31.0051993067591,22.651847,11.81,995.83,53.8,51.51,3300.711,156.82842287695,,,,,0.6076997210603939
1994,Albania,61391,87.45156695156695,0.17,12.4,0.0,2.1,25.5979202772964,22.650445,12.79,1065.98,53.5,57.26,3293.999,157.712305025997,,,,,0.6221612391377108
1995,Albania,72509,103.28917378917379,0.2,10.0,0.0,1.0,19.0641247833622,22.627399,11.62,1270.89,53.2,61.57,3284.364,154.904679376083,,,,,0.6369662283137552
1996,Albania,87011,123.94729344729345,0.2,5.5,0.0,1.0,11.265164644714,21.363474,11.36,1327.29,52.9,62.07,3271.331,144.072790294627,,,,,0.6521445038989766
1997,Albania,72509,103.58428571428571,0.22,4.2,0.0,1.0,8.99653979238754,24.197203,11.6,953.08,52.4,58.79,3253.719,136.851211072664,,,,,0.6676412866493416
1998,Albania,75409,107.88125894134478,0.22,18.0,0.1,6.9,43.3275563258232,23.581369,12.22,1107.55,52.0,61.35,3232.175,141.247833622184,,,,,0.6835280244564451
1999,Albania,77343,110.6480686695279,0.23,5.8,0.1,4.7,18.370883882149,21.897362,12.49,1247.4,51.5,60.74,3208.26,142.1143847487,,,,,0.699793880127491
2000,Albania,78310,112.03147353361946,0.23,6.5,1.7,4.9,32.3529411764706,22.559972,12.77,875.06,50.7,63.99,3182.021,139.913494809689,,,,,0.7164687467183628
2001,Albania,82610,118.18311874105865,0.23,9.3,1.5,6.5,32.3529411764706,21.393307,12.5,913.92,49.8,65.87,3153.612,132.301038062284,,,,,0.7371581425184833
2002,Albania,78310,112.03147353361946,0.24,22.7,0.1,6.1,97.5847750865052,20.883966,12.58,1188.64,48.9,66.36,3123.551,130.017301038062,,,,,0.7699339870130385
2003,Albania,72992,104.42346208869814,0.24,13.8,1.0,6.0,99.3195674740484,20.372377,12.44,1103.26,48.6,69.55,3092.991,102.370242214533,,,,,0.8041672659283763
2004,Albania,73476,105.11587982832619,0.23,28.5,1.5,6.8,101.307335640138,20.525556,12.13,1169.18,48.1,72.86,3062.622,131.038062283737,,,,,0.8399717507412757
2005,Albania,73476,111.49620637329286,0.25,5.5,1.5,6.4,112.37531598513,19.58259,11.69,1194.29,47.3,71.62,3032.634,150.966542750929,,,,,0.8772665807445956
2006,Albania,79689,113.03404255319148,0.24,17.6,2.0,4.6,85.8024657534247,19.067783,12.12,1132.56,46.5,74.39,3003.387,135.308219178082,,,,,0.916272244292587
2007,Albania,77343,110.80659025787966,0.25,16.9,2.0,2.1,88.4199653979239,18.480011,12.78,1159.92,45.5,75.42,2976.084,126.59169550173,,,,,0.9570110913649408
2008,Albania,78552,112.70014347202296,0.25,11.0,1.0,2.0,77.309737704918,18.406329,12.88,1109.87,44.7,77.71,2951.689,121.934426229508,,,,,0.9996223534664608
2009,Albania,78492,112.77586206896552,0.25,13.7,1.0,2.2,90.3783579638752,18.148122,12.72,1460.31,44.1,80.49,2930.541,,756946.0,0.3565002832895879,2894711.0,0.7905767498616694,1.0440042858315737
2010,Albania,96332,138.40804597701148,0.33,11.3,1.0,4.1,85.02392971246,18.838098,12.63,1470.3,42.1,85.62,2913.399,,1939374.0,0.2950356849790837,2870379.0,0.8370565279747015,1.0904230929183565
2011,Albania,96679,138.9066091954023,0.31,14.7,1.0,6.2,97.4342765273312,19.247318,12.43,856.02,45.4,89.88,2900.654,,5442941.0,0.4796067129454419,2291297.0,0.7485885332147596,1.1389062462316295
2012,Albania,99096,142.3793103448276,0.18,26.4,1.2,7.0,93.0615570990147,20.001789,12.92,1120.35,46.0,95.03,2892.193,,5670812.0,0.3275013142934663,2122385.0,0.689005282173096,1.1896159599875522
2013,Albania,109353,157.04868591124517,0.23,15.8,1.2,6.2,88.1710905849943,20.02814,12.93,1164.84,44.2,95.62,2887.014,,8381989.0,0.3320196450363889,1874134.0,0.7167954116134737,1.2415122911668852
2014,Albania,113187,162.625,0.23,27.7,1.6,8.6,88.3858024691358,20.065032,12.96,1465.17,42.3,96.82,2884.102,,13265312.0,0.402070555554781,1891359.0,0.7216638539455615,1.2947815429096707
2015,Albania,123999,178.13388880907914,0.26,30.9,1.9,6.8,107.831246951715,19.780225,12.9,1130.74,41.3,100.07,2882.481,,22251572.0,0.3866674122593721,1856368.0,0.6075967928129264,1.349317429868501
2016,Albania,137551,195.52380952380952,0.28,29.1,2.6,10.4,126.138481379977,19.537557,12.93,1227.66,40.0,103.11,2881.063,,26428563.0,0.4148855171603107,1850386.0,0.5970658881260946,1.4050785009414524
2017,Albania,138643,199.1424877908647,0.29,28.2,1.6,15.2,99.8085947712418,18.979099,12.78,1113.15,38.1,103.9,2879.355,,33981848.0,0.4831525974537451,1693980.0,0.6635837470987455,1.4620213333557392
2018,Albania,139520,200.45977011494253,0.2,26.7,2.3,8.2,66.5850762088899,18.46048,13.46,1023.63,37.3,106.08,2877.013,,37814651.0,0.5402101025978667,1915926.0,0.660360372159841,1.5200903822437195
2019,Albania,144858,208.1293103448276,0.34,39.0,4.2,13.5,94.4393278688525,18.196167,13.36,1317.06,36.4,104.11,2873.883,,34486265.0,0.4634495074929316,1790881.0,0.6545770807504269,1.579229082584752
2020,Albania,151355,220.1351164634102,0.35,33.8,3.8,14.0,101.428185456971,19.106869,13.1,1085.17,35.5,105.77,2866.849,,37477134.0,0.5518832615790958,1579430.0,0.6766686974053672,1.639371940804111
2021,Albania,152013,,,,,,,17.652737,12.92,1239.53,34.6,103.44,2854.71,,29956641.0,0.573983470219918,2055280.0,0.7290481311951781,1.7004485152046744
1961,Austria,8696,4.957810718358039,,52.3,99.0,100.2,148.90882178804,,6.96,1027.48,,79.14,7085.435,792.02486678508,,,,,1.8420251632703055
1962,Austria,7754,4.441008018327606,,63.9,103.6,105.7,172.626412849494,,5.27,1137.23,,78.0,7128.967,879.167162403331,,,,,1.8460236260865208
1963,Austria,11634,6.760023242300988,,67.7,132.1,127.5,196.86231884058,,5.61,977.89,,83.01,7174.868,987.312801932367,,,,,1.8500303750367824
1964,Austria,9469,5.49245939675174,,73.0,146.9,130.0,209.095956547978,,6.09,1149.87,,85.43,7222.9,1073.65117682559,,,,,1.854052223466025
1965,Austria,10477,6.063078703703703,,90.3,140.9,132.0,218.843373493976,,5.51,1316.39,,74.22,7269.888,1155.00602409639,,,,,1.858070990522208
1966,Austria,12226,7.251482799525504,,90.3,143.7,127.2,134.222153465347,,6.6,1301.04,,81.32,7320.913,1275.71163366337,,,,,1.8621045513840389
1967,Austria,11449,6.855688622754491,,100.1,162.2,138.3,260.3475,,6.62,1041.4,,86.89,7375.63,1361.64375,,,,,1.8661473856163564
1968,Austria,15520,9.282296650717702,,115.7,142.2,120.9,227.041224234853,,6.17,1012.92,,91.3,7413.808,1432.2860712055,,,,,1.8702035182044472
1969,Austria,19946,11.872619047619047,,123.7,167.9,144.5,265.895268138801,,5.85,989.2,,89.14,7439.324,1510.95268138801,,,,,1.8742571624450848
1970,Austria,22748,13.532421177870315,,125.2,158.6,122.7,257.136191677175,2.223333,5.73,1222.33,,88.41,7465.301,1569.86128625473,,,,,1.8783260439248608
1971,Austria,20434,12.155859607376561,,139.4,164.7,136.7,277.217391304348,1.95437,6.3,818.44,,86.92,7498.541,1630.01890359168,,,,,1.8819587581645456
1972,Austria,21521,12.794887039239,,135.4,152.1,126.0,260.706549118388,1.853569,6.05,1098.63,,84.36,7542.077,1690.51007556675,,,,,1.882790753917432
1973,Austria,15865,9.84181141439206,,132.1,159.6,123.1,273.572655217966,1.879542,6.01,1026.19,,87.52,7584.023,1833.75825627477,,,,,1.88362126969987
1974,Austria,25338,15.718362282878411,,125.6,125.3,86.7,223.524438573316,1.88159,6.7,1132.9,,89.14,7597.03,1878.56010568032,,,,,1.884453402493032
1975,Austria,29947,18.612181479179615,,121.4,115.2,76.5,207.123097286565,1.978919,6.71,1088.17,,89.72,7576.926,1919.25876902713,,,,,1.885285765608396
1976,Austria,17608,10.88257107540173,,143.2,138.7,89.5,244.426973684211,1.95895,6.18,994.26,,91.62,7563.511,1934.21052631579,,,,,1.886119015053564
1977,Austria,23311,14.32759680393362,,142.3,147.6,98.2,246.223021582734,1.822931,6.78,1034.23,,88.88,7566.358,2012.01438848921,,,,,1.8869516301956293
1978,Austria,23541,14.310638297872341,,152.2,142.4,96.0,253.601809954751,1.851454,5.66,974.93,,93.43,7560.249,2023.27084680026,,,,,1.8877854702851191
1979,Austria,32900,20.28360049321825,,156.9,145.1,99.0,264.543663821405,1.81376,6.21,1285.02,,93.78,7547.481,2087.32764281024,,,,,1.888619243244555
1980,Austria,29979,18.33577981651376,,159.7,148.3,99.3,265.169270833333,1.742707,5.47,1078.03,,98.3,7547.561,2083.984375,,,,,1.889454816908532
1981,Austria,28957,17.570995145631066,,161.5,139.9,92.5,254.877340219496,1.678891,6.32,1095.97,,94.06,7566.316,2080.69722401549,,,,,1.8871673612637685
1982,Austria,30994,18.968176254589963,,149.7,122.7,83.3,231.7667752443,1.757011,6.79,1032.12,,105.29,7571.289,2124.16938110749,,,,,1.86537073479066
1983,Austria,12795,8.439973614775726,,154.2,135.1,94.6,266.678248783878,1.647335,7.07,942.37,,99.14,7559.11,2265.87908269632,,,,,1.843824760206288
1984,Austria,19401,12.747043363994743,,161.1,134.7,95.0,270.103806228374,1.650611,5.94,978.45,,102.44,7558.563,2256.47058823529,,,,,1.822498157859392
1985,Austria,19599,12.851803278688525,,165.1,132.8,90.4,268.288674033149,1.556439,5.82,1128.86,,98.56,7562.114,2251.7955801105,,,,,1.801476880333108
1986,Austria,18438,12.186384666226042,,136.8,103.4,72.2,217.095205003475,1.55273,6.24,996.72,,99.64,7567.248,2265.87908269632,,,,,1.7806692005614293
1987,Austria,18702,12.360872438863186,,131.5,97.9,69.4,207.644197359277,1.515992,6.04,1181.42,,98.27,7572.38,2265.87908269632,,,,,1.7601018722954398
1988,Austria,22024,14.37597911227154,,141.8,100.2,73.2,216.186556927298,1.512406,6.94,1117.44,,102.97,7583.761,2410.45267489712,,,,,1.7397442565762031
1989,Austria,17844,11.639921722113503,,125.1,85.0,64.1,187.93694311172,1.448516,7.21,1051.32,,98.28,7619.391,2408.80054832077,,,,,1.7196772012407826
1990,Austria,17504,11.630564784053156,0.68,136.7,94.0,73.6,212.692847124825,1.494011,7.18,1109.5,,99.88,7678.729,2373.64656381487,,,,,1.6998148845929872
1991,Austria,13355,8.763123359580053,0.73,132.0,86.3,70.4,199.792387543253,1.401188,6.3,1080.48,7.4,97.92,7755.638,2352.94117647059,,,,,1.6801807269213875
1992,Austria,7875,5.229083665338646,0.66,124.0,78.0,65.0,185.933147632312,1.343977,7.45,1066.12,7.1,94.84,7840.816,2374.65181058496,,,,,1.6607481417754963
1993,Austria,8913,5.949933244325767,0.68,120.0,78.0,64.0,184.637068357999,1.312464,6.86,1049.61,6.9,94.28,7905.278,2415.89852008457,,,,,1.6415918999205057
1994,Austria,14089,9.398932621747832,0.61,121.0,73.0,56.0,175.685172171469,1.381667,8.11,1029.76,7.2,94.29,7935.365,2424.45537596627,,,,,1.622630924318611
1995,Austria,24556,16.458445040214478,0.6,125.0,60.0,52.0,167.609618104668,1.349425,6.83,1144.6,7.3,91.09,7947.296,2517.80763790665,,,,,1.6038886973388595
1996,Austria,18416,12.393001345895021,0.62,133.0,72.0,60.0,168.323404255319,1.317697,5.84,1182.63,7.4,91.14,7958.041,2517.7304964539,,,,,1.5853382568886027
1997,Austria,17712,11.975659229208924,0.63,128.0,63.0,57.0,187.312233285918,1.294744,6.98,1067.58,6.9,93.31,7967.093,2506.22332859175,,,,,1.567052129890433
1998,Austria,16360,11.084010840108402,0.56,128.0,62.0,57.0,175.454415954416,1.31432,7.13,1109.68,6.5,95.07,7975.862,2450.14245014245,,,,,1.548952355713742
1999,Austria,19203,13.036659877800407,0.56,122.0,55.0,48.0,165.985021398003,1.331038,7.17,1172.43,6.2,97.58,7991.377,2394.6362339515,,,,,1.531061100485268
2000,Austria,23730,16.142857142857142,0.59,118.0,51.0,48.0,161.138670478913,1.241241,7.97,1171.79,6.1,95.64,8010.428,2394.76769120801,,,,,1.5133523310397583
2001,Austria,25815,17.70576131687243,0.51,120.0,54.0,47.0,157.328046142754,1.217347,7.03,1058.36,5.8,97.55,8039.626,2410.43979812545,,,,,1.4958969604466
2002,Austria,28992,19.912087912087912,0.51,104.0,50.0,45.0,162.326353790614,1.178215,7.73,1212.56,5.8,96.95,8078.992,2408.86642599278,,,,,1.478618503744706
2003,Austria,33504,23.0898051728772,0.57,100.0,49.0,38.0,137.418751766266,1.13854,7.35,891.8,5.5,94.3,8120.104,2412.46929414578,,,,,1.4615398511126807
2004,Austria,34765,24.053829654742962,0.53,99.0,45.0,39.0,137.51758138186,1.203319,6.75,1080.3,4.9,99.59,8171.217,2408.67106503299,,,,,1.4446358798473264
2005,Austria,34262,23.682864450127877,0.57,104.1,42.0,34.8,131.702759469834,1.149717,6.42,1125.97,5.3,95.6,8227.034,2401.15883247628,,,,,1.42797258339707
2006,Austria,37933,26.247578189869913,0.57,104.1,43.0,35.2,130.270839384258,1.094713,7.22,1043.76,5.2,95.26,8267.763,,,,,,1.411479007236415
2007,Austria,43576,30.177285318559555,0.58,106.0,46.0,38.4,136.037063953488,1.154825,7.8,1164.0,5.5,97.92,8294.722,,10244153.0,1.5269952449803983,89309848.0,1.8584743275296576,1.395176037931911
2008,Austria,40847,28.458858775168956,0.66,87.0,27.0,17.0,167.18261504748,1.219878,7.65,1097.08,5.3,103.56,8321.131,,14406371.0,1.9166838737144605,84514993.0,1.9188696661339055,1.3790389467290276
2009,Austria,40269,28.10314746318654,0.55,91.5,23.0,22.0,86.5805649056052,1.183849,7.5,1223.73,5.3,101.87,8342.935,,13655284.0,1.8239545771959529,75349777.0,1.8093968077535296,1.3631324773957665
2010,Austria,42915,30.029389126023375,0.62,108.0,34.0,35.0,99.8064232292125,1.103479,6.53,1158.11,5.2,95.34,8362.829,,15253338.0,2.01454939175243,97925357.0,2.0370314428724234,1.3473878801479562
2011,Austria,48879,34.30345989192224,0.53,105.0,32.0,40.0,132.733156810827,1.224969,7.91,947.19,4.9,102.99,8391.2,,13297672.0,1.827876281971098,90613190.0,1.9230220225701908,1.331825156608281
2012,Austria,50472,35.5336524922557,0.59,106.0,36.0,40.0,115.413622610877,1.128668,7.68,1126.57,4.7,95.95,8429.637,,13282560.0,1.9747503678527405,84378372.0,1.8730855499827583,1.3335473034153296
2013,Austria,51728,36.44613541886846,0.52,113.8,32.6,39.9,130.908486594283,1.09476,7.36,1167.4,4.6,96.24,8479.539,,16856673.0,2.3746906904317844,87033958.0,1.8526857602338564,1.3439182138113248
2014,Austria,55534,39.18848352268718,0.53,123.9,37.7,42.0,130.875934009026,1.117799,8.36,1242.28,4.8,102.03,8546.066,,15650011.0,2.483591801264552,91897939.0,1.902647186103896,1.3543846262301706
2015,Austria,54004,38.25756770733712,0.62,122.6,31.5,31.1,148.721417428126,1.12979,8.29,1076.54,4.5,97.37,8642.421,,12960892.0,2.115743097904008,81193748.0,1.67708861272218,1.3649325958034482
2016,Austria,53418,37.8485999319805,0.58,120.8,41.0,36.6,137.795126776696,1.132613,7.75,1346.71,4.3,100.6,8736.487,,16198066.0,1.8748857427430652,83960088.0,1.6439069463493243,1.3755771495540274
2017,Austria,52632,37.70713779096009,0.76,109.0,35.1,28.6,141.031310668653,1.165341,7.69,1271.81,3.9,98.48,8797.496,,19690844.0,1.8996616451117208,93761434.0,1.8301567508406176,1.386274837073822
2018,Austria,56407,40.46355145550279,0.84,106.5,32.4,30.9,133.150058395811,1.170619,8.54,1099.63,3.7,100.51,8840.513,,18349063.0,2.020832599115061,95151218.0,1.926433025624268,1.3979244594421314
2019,Austria,56582,40.63631140476874,0.79,113.2,34.9,37.7,118.509049210504,1.127772,8.39,1188.97,3.7,99.96,8879.94,,18788855.0,1.843877458191039,90061114.0,1.865844961969118,1.410530692314609
2020,Austria,56911,41.00363845959869,0.88,110.7,36.8,34.4,128.437914433645,1.173922,8.24,1279.32,3.9,101.84,8907.777,,17260714.0,1.961966031429714,85395899.0,1.9727976260606608,1.4241163724691883
2021,Austria,57978,,,,,,,1.173823,7.35,1090.11,3.7,99.8,8922.082,,20055513.0,1.671611191932063,88330803.0,1.982025928020285,1.4387054028650348
1992,Belarus,80000,12.777511579619869,0.47,250.0,850.0,295.0,229.289940828402,9.753111,7.32,574.93,23.2,92.43,10475.907,206.936226166995,,,,,2.0089866964623515
1993,Belarus,97000,15.524967989756723,0.45,227.0,300.0,225.0,123.197903014417,10.718641,6.31,653.7,22.6,96.06,10480.484,202.1625163827,,,,,2.044573006553563
1994,Belarus,94000,14.75204017576899,0.54,200.0,300.0,40.0,86.7469879518072,10.231728,6.96,615.06,22.0,80.45,10475.395,201.913253012048,,,,,2.080839771335956
1995,Belarus,100000,15.676438313215238,0.55,230.0,250.0,43.0,83.9216944801027,11.141856,7.05,604.0,22.1,78.1,10461.696,186.044608472401,,,,,2.1177506889614013
1996,Belarus,120000,18.820577164366373,0.54,260.0,422.0,95.0,124.719101123596,11.002107,5.67,581.49,21.7,80.52,10436.459,163.402889245586,,,,,2.1553675825667886
1997,Belarus,89100,14.100332331065042,0.59,280.0,475.0,100.0,138.461538461538,9.323688,6.45,673.87,21.1,73.74,10400.924,155.951417004049,,,,,2.193547190532472
1998,Belarus,83200,13.183330692441768,0.6,280.0,545.0,100.0,149.507030871182,8.514607,6.67,786.84,20.4,72.88,10357.466,136.73832228867,,,,,2.232456787538058
1999,Belarus,76600,12.147161433555343,0.65,286.0,475.0,30.0,127.952119055322,7.606903,7.84,592.02,19.9,67.53,10308.283,126.447751536719,,,,,2.276796861183559
2000,Belarus,125000,19.977625059932876,0.61,280.0,450.0,75.0,131.257133539866,7.853678,8.03,629.39,19.3,70.98,10256.483,118.868416761781,,,,,2.3303502939567218
2001,Belarus,130000,22.093813732154995,0.61,290.0,440.0,50.0,131.921541399063,7.590449,7.17,667.38,18.5,71.78,10201.209,116.066655094602,,,,,2.385011331415621
2002,Belarus,120000,20.913210177762288,0.6,250.0,450.0,48.0,135.986467236467,7.340261,7.79,557.51,17.9,72.6,10135.388,110.93839031339,,,,,2.44103254147727
2003,Belarus,221830,38.99279310950958,0.59,270.0,455.0,50.0,135.625785598851,7.321906,6.82,602.96,17.2,73.62,10065.878,105.577302926917,,,,,2.4983689932726807
2004,Belarus,229710,40.53467443091583,0.52,375.0,470.0,98.7,146.917808219178,7.453348,6.98,694.16,16.5,83.49,9999.712,99.7296322999279,,,,,2.5571339877173425
2005,Belarus,245894,43.44416961130742,0.53,406.0,394.0,129.0,167.70119090581,6.983351,7.05,636.51,15.8,82.62,9935.163,96.6817033561891,,,,,2.617114629483779
2006,Belarus,241497,42.65977742448331,0.5,480.0,601.0,140.0,231.967509025271,6.725037,7.15,597.61,15.1,86.78,9874.7,94.9693140794224,,,,,2.678587413409515
2007,Belarus,269641,47.80868794326241,0.48,447.0,567.0,191.0,218.354774415655,6.496976,8.06,636.28,14.4,90.11,9825.986,91.3861206740352,,,,,2.741503425542942
2008,Belarus,274558,48.70640411566436,0.44,553.5,622.2,231.6,237.418419144307,6.397129,8.14,682.05,13.8,98.17,9787.826,89.7697606961566,14185100.0,1.2474108822003944,22703500.0,0.7872727811155232,2.8059878470436064
2009,Belarus,286985,50.668255649717516,0.44,529.9,663.0,234.6,281.114718614719,6.405255,7.31,820.87,13.2,98.3,9757.708,86.7604617604618,11427200.0,0.8602022324367724,15478300.0,0.4448889990694533,2.871806279057713
2010,Belarus,310160,54.82764716280714,0.45,536.0,660.0,226.0,270.460704607046,6.081885,6.91,730.71,12.5,97.26,9731.427,,19838400.0,1.1234228198941156,19032400.0,0.7559949032587573,2.9481772794582537
2011,Belarus,118639,20.994337285436206,0.46,600.0,787.0,292.0,303.888587448001,6.197177,7.68,568.88,12.0,94.87,9706.981,,25828100.0,1.005280348086898,29090600.0,0.6984574708437836,3.030282560328671
2012,Belarus,196392,34.80893300248139,0.5,557.0,720.0,221.0,271.386091995654,6.442942,7.02,765.68,11.4,101.07,9693.749,,42665900.0,1.093591012611877,41618300.0,0.8409279924479076,3.114792605847499
2013,Belarus,178275,31.394181664494766,0.51,534.8,682.5,207.9,256.342968145763,6.14952,7.71,673.02,10.8,96.07,9691.137,,60933200.0,0.9312033650054732,66090600.0,0.831935751024849,3.2014174777937345
2014,Belarus,210430,36.4072042768906,0.44,456.0,609.3,153.3,215.224563324562,6.192047,7.96,573.0,10.3,101.14,9693.739,,83864300.0,0.8310460507007427,126794500.0,1.064556293210697,3.290576325960453
2015,Belarus,263126,45.44019618001588,0.32,443.7,523.7,135.0,194.186599499771,6.283207,8.66,538.57,9.7,100.05,9700.609,,71993400.0,0.5797469589665559,160959000.0,1.1134981399221766,3.3822184648007374
2016,Belarus,282626,48.76982278131525,0.29,348.5,408.6,76.3,146.618635419966,6.688767,7.81,716.0,9.4,98.81,9708.11,,66357900.0,0.7688951000852462,218457600.0,1.166871821359715,3.476544991438882
2017,Belarus,279523,47.855332990926215,0.31,406.9,331.4,77.5,142.446306966998,6.806205,7.75,757.5,9.1,103.29,9707.876,,72427100.0,0.8504502047749566,217536900.0,1.2938744497200652,3.573230170456384
2018,Belarus,284673,48.88768675940237,0.34,404.8,382.6,104.6,156.18574929972,6.376146,8.11,591.06,8.7,99.37,9695.574,,53717700.0,0.8509970168996202,117432600.0,1.346336325413486,3.671765908378731
2019,Belarus,298997,51.37405498281787,0.37,407.4,383.8,88.2,153.880273061439,6.468906,8.82,572.66,8.4,101.63,9673.971,,60442500.0,1.0341721233358372,57327800.0,1.3485153811926236,3.7720059486473914
2020,Belarus,289804,50.31319444444444,0.38,461.9,460.0,101.1,180.728268551237,6.82439,9.09,605.6,8.3,106.62,9633.74,,40140900.0,0.8552373441346778,55867000.0,1.2405522443765569,3.8739286518497047
2021,Belarus,297768,,,,,,,6.357066,7.33,694.89,8.1,103.0,9578.167,,34230300.0,1.0554591271716274,41512500.0,1.2520110970180798,3.977514698871762
