Reporter Countries,Partner Countries,Value
Netherlands,Switzerland,11328
Netherlands,Ukraine,1001
Netherlands,United Kingdom,313271
Norway,Russia,0
Poland,Austria,1022
Poland,Belarus,3114
Poland,Belgium,196
Poland,Bulgaria,991
Poland,Croatia,324
Poland,Czechia,4020
Poland,Denmark,120
Poland,Estonia,697
Poland,Finland,633
Poland,France,3938
Poland,Germany,29367
Poland,Greece,4712
Poland,Hungary,301
Poland,Iceland,2
Poland,Ireland,684
Poland,Italy,2702
Poland,Lithuania,3457
Poland,Luxembourg,132
Poland,Netherlands,2332
Poland,Norway,988
Poland,Romania,196
Poland,Serbia,215
Poland,Slovakia,525
Poland,Slovenia,79
Poland,Spain,742
Poland,Sweden,673
Poland,Switzerland,0
Poland,Ukraine,4128
Poland,United Kingdom,16895
Portugal,Austria,133
Portugal,Belgium,120
Portugal,Czechia,28
Portugal,Denmark,182
Portugal,France,1139
Portugal,Germany,202
Portugal,Greece,0
Portugal,Hungary,0
Portugal,Ireland,0
Portugal,Italy,303
Portugal,Luxembourg,163
Portugal,Malta,1
Portugal,Netherlands,11697
Portugal,Poland,482
Portugal,Spain,56972
Portugal,Switzerland,55
Portugal,United Kingdom,5617
Moldova,Czechia,0
Moldova,Malta,0
Romania,Albania,17
Romania,Austria,0
Romania,Belgium,74
Romania,Bulgaria,35
Romania,Denmark,1
Romania,Finland,1
Romania,France,28
Romania,Germany,5
Romania,Greece,42
Romania,Hungary,33
Romania,Ireland,3
Romania,Italy,33
Romania,Lithuania,15
Romania,Luxembourg,0
Romania,Poland,574
Romania,Moldova,256
Romania,Slovakia,0
Romania,Spain,79
Romania,United Kingdom,45
Russia,Belarus,3447
Russia,Bulgaria,0
Russia,Croatia,0
Russia,Estonia,89
Russia,Italy,0
Russia,Malta,2
Russia,Netherlands,43
Russia,Norway,0
Russia,Poland,95
Russia,Moldova,0
Russia,Romania,3
Russia,Spain,0
Russia,Ukraine,4211
Russia,United Kingdom,0
Serbia,Bosnia and Herzegovina,494
Serbia,Bulgaria,27
Serbia,Croatia,266
Serbia,Czechia,1
Serbia,France,4
Serbia,Germany,19
Serbia,Greece,1277
Serbia,Montenegro,1797
Serbia,Romania,23
Serbia,Russia,345
Serbia,Slovakia,3
Serbia,Slovenia,67
Serbia,Sweden,1
Slovakia,Austria,10
Slovakia,Czechia,4757
Slovakia,Germany,51
Slovakia,Hungary,7599
Slovakia,Malta,5
Slovakia,Netherlands,6
Slovakia,Spain,196
Slovenia,Austria,107
Slovenia,Bosnia and Herzegovina,364
Slovenia,Croatia,480
Slovenia,Czechia,3
Slovenia,Germany,42
Slovenia,Hungary,242
Slovenia,Italy,309
Slovenia,Montenegro,400
Slovenia,Netherlands,49
Slovenia,Moldova,8
Slovenia,Romania,2
Slovenia,Serbia,1085
Slovenia,Slovakia,388
Slovenia,Ukraine,3
Spain,Austria,8802
Spain,Belarus,108
Spain,Belgium,22561
Spain,Bulgaria,2100
Spain,Croatia,3592
Spain,Czechia,23396
Spain,Denmark,22823
Spain,Estonia,1162
Spain,Finland,16649
Spain,France,134672
Spain,Germany,373393
Spain,Greece,479
Spain,Hungary,10723
Spain,Ireland,13624
Spain,Italy,35489
Spain,Lithuania,7609
Spain,Luxembourg,754
Spain,Malta,102
Spain,Netherlands,113189
Spain,Norway,16793
Spain,Poland,68182
Spain,Portugal,22735
Spain,Moldova,171
Spain,Romania,15906
Spain,Serbia,2002
Spain,Slovakia,8643
Spain,Slovenia,928
Spain,Sweden,30638
Spain,Switzerland,28067
Spain,Ukraine,105
Spain,United Kingdom,146307
Sweden,Denmark,1596
Sweden,Finland,16
Sweden,Germany,225
Sweden,Italy,1
Sweden,Netherlands,361
Sweden,Norway,2
Sweden,Poland,4
Sweden,Spain,4
Sweden,United Kingdom,0
Switzerland,Austria,44
Switzerland,Belgium,0
Switzerland,France,3
Switzerland,Germany,2
Switzerland,Netherlands,2
Switzerland,Spain,34
Ukraine,Austria,2
Ukraine,Belarus,1893
Ukraine,Belgium,0
Ukraine,Bulgaria,0
Ukraine,Denmark,0
Ukraine,Estonia,373
Ukraine,France,1
Ukraine,Germany,1
Ukraine,Greece,1
Ukraine,Italy,0
Ukraine,Malta,1
Ukraine,Montenegro,0
Ukraine,Netherlands,193
Ukraine,Norway,1
Ukraine,Poland,2197
Ukraine,Portugal,0
Ukraine,Moldova,438
Ukraine,Romania,0
Ukraine,Russia,0
Ukraine,Spain,0
Ukraine,Switzerland,0
Ukraine,United Kingdom,2
United Kingdom,Ireland,4193
United Kingdom,Netherlands,13
United Kingdom,Poland,17
United Kingdom,Spain,47
