Variable:,pr
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1920,988.07,1041.90,751.59,728.07,1512.47,966.24,741.71,758.77,1102.51,1024.55,895.11,895.11,874.33,1003.07,653.71,1204.62,747.80,911.93,702.87,1080.80,916.68,1019.61,707.14,1053.37,1399.64
1921,1264.27,1338.47,993.01,940.44,1905.88,1258.31,979.65,946.05,1399.48,1325.87,1173.79,1173.79,1157.10,1287.97,821.66,1530.79,949.94,1192.21,926.25,1400.63,1156.33,1338.72,924.31,1391.19,1755.01
1922,1101.91,1110.19,741.18,778.69,1807.77,1008.77,750.18,816.13,1092.80,1043.73,919.98,919.98,852.30,1236.95,743.95,1323.75,807.15,900.95,703.43,1417.49,1034.80,975.83,738.12,1011.63,1585.07
1923,996.00,1024.17,679.65,725.43,1590.19,934.14,695.18,751.55,1007.64,964.99,851.40,851.40,771.02,1086.78,674.85,1207.29,747.15,827.02,656.28,1239.12,936.55,879.60,690.63,900.44,1431.64
1924,1001.84,992.67,678.76,696.12,1618.69,908.61,681.28,768.60,991.68,940.92,836.49,836.49,779.80,1122.75,703.58,1207.55,739.90,819.39,645.13,1285.16,943.07,887.71,664.01,918.45,1452.18
1925,982.50,1065.81,680.09,706.62,1577.34,961.89,693.86,707.57,1091.89,1014.93,868.84,868.84,774.53,996.38,599.24,1275.29,721.37,861.18,643.80,1134.88,870.02,908.88,674.12,925.84,1521.91
1926,1106.79,1111.47,722.89,763.40,1827.17,1002.37,735.05,845.22,1097.05,1037.56,908.09,908.09,822.21,1233.90,769.91,1353.90,811.52,882.23,695.31,1417.82,1043.06,938.30,725.17,959.92,1631.24
1927,891.03,937.18,618.14,630.45,1419.86,852.28,634.29,644.41,948.97,897.27,781.77,781.77,703.87,940.49,574.99,1131.57,637.08,772.48,580.15,1077.56,802.75,821.88,608.27,846.07,1348.97
1928,849.15,866.74,527.59,563.91,1421.43,753.08,553.85,614.10,817.79,774.62,685.60,685.60,593.79,957.80,579.55,1071.65,591.36,663.45,497.08,1104.04,801.01,710.88,537.82,724.88,1287.56
1929,998.76,1023.78,668.74,700.08,1635.81,898.17,682.79,734.09,935.78,895.81,809.39,809.39,757.81,1104.66,671.30,1243.74,719.17,779.42,634.54,1271.27,922.40,876.27,672.31,902.56,1490.19
1930,1152.86,1094.63,698.92,754.09,1991.78,944.82,714.80,881.54,959.41,917.02,837.80,837.80,787.07,1383.45,852.76,1368.37,802.76,795.43,666.08,1603.40,1133.40,910.91,719.77,937.69,1711.27
1931,931.83,980.62,681.07,685.54,1496.85,880.07,681.64,674.99,942.14,900.24,809.98,809.98,775.58,973.07,612.02,1154.23,680.37,808.68,636.74,1107.46,831.70,904.81,665.39,938.35,1366.47
1932,977.69,957.64,745.80,722.35,1541.62,878.97,717.53,749.14,905.76,881.36,805.31,805.31,828.51,1089.78,702.85,1125.67,733.90,807.68,697.75,1230.09,926.08,948.62,716.74,980.79,1336.05
1933,1147.54,1198.79,823.72,807.46,1919.74,1083.42,835.67,766.94,1183.29,1144.03,993.06,993.06,889.97,1227.06,716.82,1434.25,788.98,976.87,760.21,1390.84,1047.89,1068.18,806.01,1098.98,1717.60
1934,1140.15,1087.94,828.91,868.96,1843.89,1035.04,810.93,874.80,1012.94,1000.92,925.88,925.88,934.20,1296.25,843.35,1268.87,883.74,865.13,791.63,1453.23,1114.00,1050.01,840.45,1090.14,1526.23
1935,1005.04,972.04,713.23,778.49,1630.80,938.78,727.18,765.12,925.85,919.85,850.86,850.86,803.49,1129.46,720.33,1130.43,778.45,818.28,685.73,1258.76,982.31,908.05,750.13,934.82,1338.92
1936,998.01,1050.12,756.54,770.52,1527.71,1019.61,786.94,744.20,1083.92,1046.07,941.81,941.81,853.33,1028.22,677.89,1172.49,754.08,893.98,723.32,1157.43,915.20,974.56,769.68,997.60,1381.19
1937,1104.43,1110.67,796.49,823.57,1834.09,1018.40,815.18,755.66,1026.61,994.50,925.72,925.72,898.26,1223.41,691.22,1332.21,781.18,912.86,772.23,1403.72,988.97,1012.16,803.21,1038.03,1642.99
1938,1046.91,1069.53,842.02,826.32,1589.52,1027.96,820.80,804.95,1035.53,1008.45,936.43,936.43,964.96,1096.87,669.17,1221.74,825.65,882.64,795.22,1232.13,947.51,1066.78,808.39,1119.91,1435.38
1939,899.80,1001.06,746.01,729.04,1371.29,928.47,750.28,635.83,937.56,906.06,839.63,839.63,844.45,838.60,447.92,1170.94,687.86,785.95,719.17,946.80,745.07,929.34,727.49,968.85,1379.47
1940,1070.01,1069.62,766.12,821.92,1695.64,989.21,780.20,855.47,989.01,937.56,887.33,887.33,871.46,1143.08,725.59,1278.39,854.04,801.95,753.99,1277.99,1024.11,959.27,795.60,994.90,1506.30
1941,836.35,898.43,695.89,567.37,1377.16,815.99,691.95,497.91,874.89,825.51,758.27,758.27,788.45,837.20,457.08,1100.02,527.78,785.23,647.58,946.93,680.35,906.82,603.44,938.46,1322.00
1942,1039.62,1035.90,765.52,734.85,1694.35,968.28,800.62,746.90,1047.25,975.78,898.11,898.11,861.86,1162.37,693.59,1219.55,745.22,902.54,740.39,1315.15,957.15,979.59,741.21,1011.27,1453.32
1943,1114.47,1095.54,808.02,799.76,1774.51,1035.19,835.55,863.84,1063.73,1033.55,964.04,964.04,913.76,1259.80,803.24,1280.67,839.97,931.65,774.78,1416.96,1039.01,1058.81,788.64,1092.17,1503.65
1944,947.27,1019.12,770.48,666.01,1510.63,963.87,797.07,621.95,1034.12,969.70,895.69,895.69,870.70,942.06,532.44,1205.64,639.90,890.08,733.76,1071.48,793.68,1003.91,707.61,1034.53,1436.63
1945,1063.10,1155.12,784.05,767.68,1665.38,1068.63,820.95,761.28,1111.09,1039.38,980.50,980.50,891.87,1062.14,608.09,1381.22,765.78,933.10,761.25,1202.74,937.44,1016.71,774.73,1054.46,1622.57
1946,1033.97,1023.43,836.23,721.53,1643.70,958.21,820.45,718.43,1013.94,960.69,901.22,901.22,952.96,1148.63,690.01,1214.78,722.83,937.92,772.11,1296.22,922.15,1095.65,724.56,1135.12,1441.80
1947,1018.08,1014.63,658.03,684.45,1726.67,927.27,688.33,729.39,983.90,944.98,846.43,846.43,732.33,1185.10,718.62,1210.68,716.42,822.17,632.39,1351.93,974.80,834.16,673.33,847.61,1438.50
1948,958.16,1032.58,613.18,585.90,1660.47,914.84,665.95,558.00,1126.55,1029.71,856.79,856.79,682.98,1077.27,583.61,1254.55,574.16,893.96,574.31,1238.27,828.21,834.69,598.06,858.69,1493.28
1949,972.66,967.83,675.48,648.80,1632.37,853.88,698.13,662.08,967.28,888.92,814.55,814.55,772.16,1126.86,660.23,1175.03,662.20,853.17,623.31,1262.83,907.11,911.29,625.60,921.42,1376.37
1950,1083.44,878.48,625.84,650.37,1969.30,722.84,578.88,819.01,817.33,769.65,659.16,659.16,727.88,1492.31,910.44,1173.42,752.26,638.61,599.90,1677.25,1172.75,787.66,564.75,835.78,1465.29
1951,978.38,792.79,710.27,708.67,1661.50,724.06,615.36,812.96,695.68,667.96,653.36,653.36,851.70,1226.00,783.89,999.64,773.20,625.81,703.67,1394.62,1004.24,894.56,648.82,946.86,1282.74
1952,954.80,850.57,688.03,789.68,1427.72,816.27,659.30,865.63,761.91,727.08,713.22,713.22,819.50,1112.17,713.62,988.44,835.05,668.26,703.84,1232.71,1016.02,862.49,729.10,914.28,1186.76
1953,1351.71,1413.41,1020.10,1051.30,2174.30,1365.43,1075.22,954.40,1361.95,1345.43,1262.81,1262.81,1151.67,1405.17,768.07,1627.36,1000.75,1222.31,1007.20,1629.78,1183.68,1285.35,1048.04,1339.96,1947.22
1954,1033.81,974.76,768.27,750.75,1681.04,915.68,730.81,776.26,943.25,914.18,850.56,850.56,893.43,1203.51,693.39,1155.60,769.14,849.91,731.79,1397.07,980.96,993.08,724.61,1039.81,1400.78
1955,942.34,944.21,731.61,744.96,1446.70,916.58,712.33,731.26,879.11,873.04,831.80,831.80,837.77,1000.27,585.62,1086.28,736.26,793.28,720.30,1137.80,886.39,931.40,738.14,964.27,1300.78
1956,1110.09,1151.11,893.39,871.26,1698.35,1124.59,909.10,829.42,1115.47,1108.99,1057.40,1057.40,1041.24,1124.95,622.80,1320.22,856.35,1053.56,845.59,1296.41,982.78,1217.62,875.90,1267.81,1526.48
1957,992.26,1053.01,729.14,781.05,1550.26,983.75,732.41,759.41,1025.59,995.02,885.59,885.59,845.24,986.78,639.19,1223.38,785.27,844.76,721.43,1148.27,871.82,951.40,743.16,992.25,1455.96
1958,949.71,968.29,696.33,734.81,1485.36,902.10,689.98,796.53,938.49,911.46,824.48,824.48,804.18,945.42,643.36,1149.18,788.24,811.80,680.08,1047.63,886.80,923.82,695.01,968.81,1356.65
1959,1256.28,1275.94,870.51,853.72,2266.66,1179.07,874.33,843.88,1270.73,1212.39,1092.12,1092.12,998.70,1342.33,709.24,1551.90,865.48,1065.91,811.44,1634.19,1087.99,1191.90,834.56,1224.31,1938.01
1960,929.37,835.43,584.00,542.63,1731.68,736.65,540.39,615.58,879.57,815.81,680.94,680.94,704.21,1162.22,619.37,1065.68,595.01,705.43,523.53,1361.92,906.77,862.09,503.12,887.35,1375.29
1961,1229.54,1091.00,800.20,831.61,2119.89,925.57,700.29,986.93,986.97,955.05,825.93,825.93,988.10,1522.27,925.70,1355.26,933.07,802.50,739.56,1712.51,1291.91,1040.26,720.84,1117.56,1657.07
1962,1022.10,1107.26,778.53,748.16,1589.09,990.66,755.07,738.84,1010.54,1015.05,908.97,908.97,974.09,1032.56,622.10,1284.59,750.94,906.19,754.41,1109.11,919.71,1020.19,714.17,1093.62,1475.58
1963,970.17,888.61,706.56,705.98,1713.46,854.26,646.97,761.76,916.89,859.42,777.88,777.88,853.87,1074.68,681.89,1070.02,741.04,753.61,687.10,1234.32,934.95,932.32,654.41,966.79,1336.40
1964,1050.57,1126.07,792.68,766.66,1709.90,1001.09,767.68,768.50,1018.40,1000.41,908.32,908.32,919.77,1027.48,690.21,1336.71,757.69,888.41,722.16,1116.64,950.52,1092.12,723.18,1126.45,1584.76
1965,808.00,823.27,616.32,606.99,1245.20,776.30,622.18,655.07,800.14,764.29,714.69,714.69,693.83,790.73,634.80,965.63,614.75,711.18,595.57,848.72,762.40,817.14,585.79,841.72,1176.79
1966,941.83,949.92,629.52,674.65,1503.34,840.54,637.68,730.69,938.23,873.04,768.35,768.35,723.21,1032.06,741.54,1140.40,704.18,748.02,609.73,1103.15,898.62,825.35,644.61,856.77,1365.92
1967,1058.47,1148.78,740.66,819.53,1503.97,1036.33,776.43,866.21,1010.22,1010.58,944.11,944.11,804.76,1076.32,808.46,1332.10,849.17,887.09,702.44,1096.73,1057.59,917.07,766.88,951.55,1468.91
1968,997.66,998.21,661.53,649.99,1696.39,857.40,638.69,717.57,977.21,937.74,776.55,776.55,771.93,1156.62,683.17,1223.86,685.20,777.93,603.19,1334.20,903.91,881.88,599.57,911.79,1505.35
1969,1103.96,1238.10,812.44,924.77,1701.86,1144.48,885.06,814.61,1187.81,1155.82,1051.44,1051.44,908.48,1006.69,676.56,1417.36,868.94,977.93,812.80,1170.34,959.81,1031.59,891.04,1058.27,1662.85
1970,1109.21,1137.56,753.50,839.46,1583.43,1043.84,799.95,920.55,1096.23,1024.14,961.91,961.91,867.95,1212.60,842.19,1325.24,873.23,876.47,746.92,1352.96,1111.55,909.36,797.18,953.17,1516.33
1971,1148.19,1209.59,864.24,970.06,1767.71,1099.69,850.35,892.46,1038.57,1046.47,996.24,996.24,1019.34,1121.02,734.64,1407.04,951.00,937.64,845.17,1290.24,1035.62,1110.81,888.06,1173.97,1664.82
1972,1332.61,1306.47,983.72,918.57,2148.59,1207.24,904.76,972.32,1345.56,1293.65,1114.13,1114.13,1131.84,1527.50,879.49,1560.75,962.73,1138.80,890.79,1811.19,1216.76,1333.05,880.15,1370.91,1881.08
1973,1174.49,1284.66,896.88,910.83,1702.37,1174.27,939.30,903.37,1207.45,1151.59,1089.08,1089.08,1007.96,1141.01,799.41,1490.88,917.94,1074.68,873.13,1234.37,1096.94,1160.92,881.63,1191.07,1643.55
1974,1274.52,1239.53,813.80,853.51,2100.30,1136.79,865.04,978.14,1142.42,1108.00,1058.32,1058.32,914.14,1551.21,907.10,1458.69,921.40,1027.89,776.87,1836.81,1241.15,1036.43,829.49,1067.68,1699.50
1975,1126.25,1272.63,838.01,969.68,1767.54,1192.63,934.94,824.65,1197.83,1115.64,1114.24,1114.24,938.86,996.48,638.05,1439.44,926.07,1049.01,842.25,1118.77,975.89,1071.82,936.20,1099.65,1683.95
1976,1150.49,1221.93,843.03,850.54,1913.76,1150.09,881.61,737.94,1284.89,1215.35,1079.59,1079.59,935.98,1248.37,594.26,1441.43,822.63,1093.61,787.74,1540.30,934.31,1141.39,832.77,1144.60,1664.69
1977,945.42,858.71,682.58,627.44,1552.22,778.99,619.41,785.05,933.61,846.39,715.39,715.39,799.01,1084.35,776.50,1025.55,700.59,747.21,640.35,1242.12,969.90,907.45,592.59,922.69,1298.33
1978,1028.50,936.41,708.92,700.45,1787.39,883.73,705.91,735.06,1019.12,872.39,832.90,832.90,836.41,1247.10,654.18,1141.49,735.05,825.91,666.41,1478.64,952.36,969.94,688.76,1003.89,1473.76
1979,973.15,879.58,655.99,618.54,1699.33,797.70,609.95,737.85,987.51,888.44,726.65,726.65,781.13,1201.18,790.89,1054.51,668.42,707.48,622.48,1329.92,971.01,819.53,606.79,866.91,1330.31
1980,922.40,918.49,589.20,613.35,1560.67,865.83,619.80,657.35,1039.41,946.09,808.83,808.83,677.95,1032.78,638.89,1113.61,638.68,793.76,562.41,1121.64,889.12,817.09,601.38,836.01,1350.57
1981,1034.68,962.41,731.57,745.79,1473.25,927.60,712.70,874.78,956.02,877.20,860.66,860.66,851.32,1263.66,843.27,1100.42,821.58,822.47,695.51,1401.29,1084.32,948.57,729.68,994.24,1272.80
1982,1119.04,1050.59,769.53,751.30,1904.00,990.40,720.53,834.83,1193.73,1093.30,897.45,897.45,914.62,1323.23,811.21,1240.63,806.18,867.36,735.67,1506.67,1106.16,936.28,736.06,987.79,1543.89
1983,1232.88,1344.80,920.34,1018.03,1540.28,1237.11,948.40,1071.91,1251.25,1174.48,1140.13,1140.13,1032.62,1259.24,981.63,1495.78,1054.59,1059.97,907.76,1294.59,1214.03,1153.11,971.79,1206.37,1600.98
1984,1157.07,1262.72,824.16,864.56,1861.65,1197.31,868.52,782.78,1379.98,1270.70,1092.10,1092.10,887.85,1252.04,672.97,1429.13,835.73,1055.43,805.14,1483.97,978.94,1061.06,879.64,1060.86,1648.82
1985,928.80,886.13,652.33,676.50,1282.78,834.07,618.32,826.08,898.51,867.99,749.92,749.92,755.38,1056.40,773.46,1054.48,760.66,757.15,616.71,1140.70,972.34,834.73,633.28,867.53,1235.66
1986,1100.96,1072.87,724.07,735.09,1915.48,964.43,690.77,751.00,1044.43,1019.99,849.59,849.59,823.09,1379.26,691.64,1299.16,754.46,844.17,681.24,1613.39,980.82,943.29,694.36,978.07,1567.56
1987,982.81,984.90,710.40,638.89,1587.81,874.31,676.90,687.72,951.41,944.07,792.49,792.49,821.67,1152.23,680.84,1155.13,667.91,837.79,642.81,1318.01,899.22,1011.31,619.33,1041.43,1390.15
1988,1080.18,1057.20,743.08,704.36,1494.07,934.35,702.46,845.25,1013.54,1012.89,862.02,862.02,848.67,1379.49,856.40,1245.52,781.63,876.94,688.62,1538.08,1061.04,979.06,666.80,1009.42,1428.36
1989,1269.36,1273.62,850.20,910.63,2024.85,1171.28,903.71,951.52,1269.07,1251.72,1061.58,1061.58,913.84,1475.73,884.29,1504.93,954.60,1071.19,824.06,1680.66,1193.52,1041.40,874.97,1051.70,1765.18
1990,1169.85,1089.67,784.31,841.83,1760.48,1009.95,807.58,968.45,1048.71,991.79,928.31,928.31,884.86,1399.39,973.19,1307.20,886.11,924.67,773.61,1539.78,1188.00,987.39,794.41,1013.47,1585.25
1991,1263.02,1314.38,1028.46,922.45,1734.97,1264.72,1030.39,962.98,1325.26,1352.96,1202.65,1202.65,1119.05,1380.40,886.19,1473.20,962.66,1245.59,951.98,1542.74,1170.42,1351.15,927.38,1372.74,1624.84
1992,1339.13,1341.84,998.44,999.26,2027.49,1278.90,1014.86,1036.43,1260.79,1255.58,1191.94,1191.94,1100.97,1471.59,977.16,1569.61,1026.85,1170.40,969.09,1665.14,1249.29,1243.68,959.70,1272.84,1833.55
1993,1139.69,1162.23,852.96,787.35,1913.80,1056.04,819.80,758.46,1086.13,1083.40,969.51,969.51,978.22,1249.57,686.58,1403.82,790.66,1003.55,789.71,1429.53,1009.66,1134.60,769.82,1167.78,1674.94
1994,1157.32,1045.33,680.21,773.31,2046.56,932.34,722.79,874.99,958.41,946.20,842.52,842.52,747.26,1459.45,860.53,1312.05,831.31,804.52,686.15,1707.93,1131.13,839.08,730.09,859.44,1670.32
1995,1047.67,878.00,754.31,706.32,1623.41,808.66,707.72,880.17,834.50,816.97,754.79,754.79,863.03,1315.49,930.93,1091.34,782.68,796.67,737.04,1408.90,1103.60,960.09,697.42,987.61,1377.36
1996,1051.82,1026.35,699.37,767.73,1729.20,958.15,770.97,766.19,1039.90,1005.90,884.86,884.86,762.09,1222.75,713.28,1215.38,774.59,873.81,716.39,1441.63,983.42,864.84,763.93,893.80,1475.66
1997,1196.43,1176.87,832.92,915.09,2057.76,1123.17,887.09,833.25,1161.81,1129.16,1017.83,1017.83,910.47,1390.22,786.46,1327.98,890.72,966.63,862.03,1633.55,1059.73,1000.66,908.52,1034.76,1674.51
1998,1100.13,1002.49,698.13,820.03,1792.33,962.32,744.05,874.78,995.29,966.93,868.79,868.79,766.57,1357.37,838.45,1195.94,858.42,808.15,738.18,1583.41,1084.77,806.91,788.64,838.27,1474.01
1999,1147.29,1145.50,804.64,881.53,1676.23,1048.94,803.23,939.35,1076.67,1064.36,937.89,937.89,930.37,1268.78,874.73,1334.43,925.35,901.97,814.14,1398.06,1147.13,1003.80,827.80,1041.42,1553.49
2000,1035.36,1030.66,723.67,714.87,1471.41,929.59,720.73,819.84,1025.56,1006.29,843.97,843.97,860.80,1188.13,826.28,1229.61,775.40,845.37,715.91,1309.87,1014.08,943.08,668.56,982.30,1429.93
2001,1097.00,1087.88,766.51,796.97,1764.34,1010.02,785.22,773.95,1038.28,1013.05,931.49,931.49,855.42,1270.10,749.78,1295.07,785.43,914.10,735.08,1492.02,994.26,971.16,775.81,1010.65,1564.39
2002,1284.83,1151.42,785.19,852.38,2302.64,1051.93,812.53,952.25,1197.06,1117.67,981.84,981.84,887.75,1637.91,924.75,1403.96,926.86,965.21,786.38,1927.46,1253.28,978.47,806.27,1014.62,1763.52
2003,1261.42,1267.10,861.01,941.87,2100.61,1193.51,917.61,935.00,1270.06,1249.01,1102.72,1102.72,942.73,1421.81,833.86,1452.64,957.09,1062.16,860.80,1653.93,1167.50,1028.60,912.44,1069.58,1751.32
2004,1274.57,1290.15,928.06,946.53,2008.01,1200.10,959.39,951.30,1259.97,1215.66,1117.57,1117.57,1037.99,1424.56,851.78,1485.41,970.93,1105.09,905.36,1626.78,1182.20,1162.62,921.75,1210.19,1729.64
2005,1107.70,1037.04,711.44,810.48,1730.99,941.30,711.81,944.26,997.99,960.82,864.09,864.09,823.15,1281.20,874.13,1272.66,897.42,833.95,700.88,1378.46,1132.51,900.45,751.29,939.20,1543.07
2006,1267.43,1263.61,959.31,916.45,2026.43,1194.33,942.42,936.36,1217.64,1209.87,1103.98,1103.98,1094.28,1379.15,861.37,1474.63,927.51,1087.16,904.82,1574.28,1171.16,1237.99,925.85,1284.65,1792.25
2007,1291.63,1382.34,1058.70,979.78,1890.35,1319.63,1041.62,984.21,1370.05,1316.16,1223.12,1223.12,1216.33,1273.28,837.36,1572.39,970.58,1205.81,999.86,1416.11,1144.61,1389.96,999.35,1447.34,1834.72
2008,1086.58,1127.51,807.67,810.55,1619.55,1059.29,811.21,840.75,1080.19,1042.69,974.73,974.73,915.76,1170.86,775.89,1294.88,823.52,933.02,765.08,1307.87,1010.67,1034.10,807.88,1076.31,1490.88
2009,1261.35,1100.16,807.99,926.59,2140.03,969.40,775.65,1072.61,1047.38,966.73,886.18,886.18,938.08,1568.00,1018.59,1358.38,1020.55,843.06,785.62,1728.09,1309.98,1019.27,835.96,1068.30,1624.13
2010,973.87,853.59,565.60,671.56,1721.75,704.74,551.57,780.21,779.13,728.38,630.43,630.43,669.28,1250.02,794.56,1065.36,734.01,618.43,565.89,1413.93,1026.34,714.19,588.39,749.22,1300.56
2011,1344.15,1227.38,920.16,964.81,2329.10,1116.95,910.22,1026.29,1183.02,1141.28,1047.52,1047.52,1068.83,1582.09,932.63,1491.45,1005.08,1039.98,882.73,1803.66,1332.74,1184.40,900.91,1243.83,1842.93
2012,1134.72,1122.41,766.63,805.39,1820.03,1006.33,755.88,906.51,1113.90,1041.97,928.52,928.52,889.25,1266.63,803.42,1368.51,874.91,907.56,725.10,1421.82,1107.23,982.15,742.06,1029.90,1588.40
2013,1208.24,1187.26,821.23,885.27,1974.10,1070.98,802.75,942.81,1119.64,1072.50,978.37,978.37,951.13,1347.42,845.75,1441.80,925.12,949.36,792.54,1504.94,1176.62,1034.96,823.29,1072.05,1708.53
2014,1294.56,1221.75,804.54,912.33,2193.02,1074.19,805.57,980.99,1138.02,1084.72,992.03,992.03,916.57,1581.33,959.20,1475.91,952.53,955.28,772.59,1791.00,1305.44,1021.36,834.24,1049.83,1778.30
2015,1238.61,1247.38,887.13,874.44,1983.78,1143.48,878.95,890.70,1237.32,1178.41,1065.65,1065.65,1011.02,1385.21,867.04,1481.77,874.74,1039.29,830.50,1579.82,1147.68,1145.03,849.81,1195.79,1772.73
2016,1296.92,1202.05,867.19,922.66,2118.51,1100.29,844.45,1033.75,1171.53,1113.33,1006.20,1006.20,1007.01,1555.34,1003.21,1438.90,989.66,990.65,833.58,1743.98,1310.34,1108.25,851.12,1156.67,1722.68
2017,1234.33,1219.88,846.02,876.68,1981.77,1111.46,839.50,933.41,1167.27,1129.11,1008.33,1008.33,971.01,1423.44,892.90,1444.22,912.89,969.63,807.40,1626.89,1176.66,1091.57,833.01,1132.73,1713.62
2018,1419.38,1413.67,989.67,1024.04,2251.65,1296.68,984.55,1085.99,1364.10,1317.41,1180.38,1180.38,1129.68,1614.25,1026.33,1659.87,1065.72,1138.66,945.47,1831.13,1352.89,1268.65,975.55,1310.23,1955.44
2019,1125.60,1109.18,778.82,809.89,1788.45,1015.74,776.82,861.19,1070.11,1028.39,924.74,924.74,886.91,1300.40,826.35,1306.52,842.72,886.81,748.49,1493.39,1069.69,991.07,770.95,1027.29,1548.63
2020,1214.58,1205.68,850.17,877.79,1905.01,1107.64,846.12,934.89,1154.73,1120.87,1009.95,1009.95,974.37,1390.01,890.86,1415.11,913.80,969.25,815.02,1576.18,1155.63,1085.29,837.22,1127.67,1664.18
